CatID,CatName,CatPersonal,Cat
C0001,Abyssinian,"มีรูปร่างปราดเปรียว สง่างาม หูใหญ่แหลม และมีสีขนที่เป็นเอกลักษณ์เรียกว่า ""Ticked Coat"" (ขนหนึ่งเส้นมีหลายสีสลับกัน) ฉลาดมากและซนเหมือนลิง ชอบปีนป่าย",เชื่อกันว่าเป็นหนึ่งในสายพันธุ์ที่เก่าแก่ที่สุดในโลก โดยมีรูปร่างคล้ายแมวในภาพวาดอียิปต์โบราณ แม้ชื่อจะมาจากประเทศอะบิสสิเนีย (เอธิโอเปียในปัจจุบัน) แต่หลักฐานทางพันธุกรรมบ่งชี้ว่าต้นกำเนิดจริงๆ อาจมาจากแถบชายฝั่งมหาสมุทรอินเดีย
C0002,Bengal,"ลายจุด (Rosettes) เหมือนเสือดาว มีความคล่องตัวสูง พลังงานล้นเหลือ และที่แปลกกว่าแมวทั่วไปคือ ""ชอบเล่นน้ำ"" มาก",เกิดจากการผสมข้ามสายพันธุ์ระหว่าง แมวดาว (Asian Leopard Cat) กับแมวบ้าน เพื่อให้ได้แมวที่มีลักษณะเหมือนสัตว์ป่าแต่มีนิสัยเชื่องเหมือนแมวบ้าน เริ่มพัฒนาสายพันธุ์จริงจังในช่วงปี 1970-1980
C0003,Birman,"มีฉายาว่า ""แมวศักดิ์สิทธิ์แห่งพม่า"" จุดเด่นคือมีถุงเท้าสีขาวบริสุทธิ์ที่เท้าทั้ง 4 ข้าง ตาสีฟ้าใส และขนยาวนุ่มสลวย นิสัยสุภาพ อ่อนโยน",มีตำนานเล่าว่าเดิมทีเป็นแมวในวัดของพม่าที่คอยเฝ้าเทวรูปทองคำ เมื่อพระที่เป็นเจ้าของมรณภาพ แมวตัวนี้ก็ได้เปลี่ยนสีขนและสีตาตามพรของเทพธิดา แต่ในทางประวัติศาสตร์เริ่มเป็นที่รู้จักกว้างขวางเมื่อถูกนำเข้าไปยังฝรั่งเศสช่วงต้นศตวรรษที่ 20
C0004,Oriental,"หน้าแหลมเป็นรูปสามเหลี่ยม หูมีขนาดใหญ่มาก ร่างกายเพรียวบางและขายาว เป็นแมวที่ ""ช่างพูด"" และต้องการความสนใจจากเจ้าของตลอดเวลา",มีต้นกำเนิดมาจากสายพันธุ์วิเชียรมาศ (Siamese) แต่ถูกพัฒนาให้มีสีสันและลวดลายที่หลากหลายมากกว่า 300 แบบ โดยยังคงโครงสร้างปราดเปรียวแบบแมวตะวันออกเอาไว้
C0005,Siamese,"แต้มสีเข้ม 9 จุดบนตัว (หน้า, หู 2, เท้า 4, หาง, อวัยวะเพศ) และตาสีฟ้าสดใส เป็นแมวที่มีไอคิวสูงและจำชื่อตัวเองได้ดี",แมวไทยมงคลที่เป็นมรดกของโลก ในสมัยก่อนถือเป็นแมวชั้นสูงในราชสำนักไทย ก่อนจะถูกส่งไปเป็นของขวัญให้ทูตอังกฤษและอเมริกาในช่วงปลายศตวรรษที่ 19 จนกลายเป็นแมวยอดนิยมไปทั่วโลก
C0006,Somali,"คือ ""Abyssinian เวอร์ชั่นขนยาว"" มีหางฟูฟ่องเหมือนหางกระรอก นิสัยร่าเริง ขี้เล่น และฉลาด",เกิดจากการกลายพันธุ์ตามธรรมชาติของลูกแมว Abyssinian ที่มีขนยาวผิดปกติในครอก (Recessive Gene) ในช่วงแรกนักบราเดอร์ไม่ยอมรับ แต่ภายหลังความสวยงามของมันทำให้ถูกจัดตั้งเป็นสายพันธุ์ใหม่ในช่วงปี 1960
C0007,Sphynx,ไร้ขน (จริงๆ มีขนอ่อนบางๆ เหมือนลูกพีช) ผิวหนังยับย่น ขี้อ้อนมากเพราะต้องการความอบอุ่นจากตัวคน และไม่ต้องกังวลเรื่องขนร่วง,ไม่ได้มาจากอียิปต์ตามชื่อ แต่ต้นกำเนิดมาจากแคนาดาในปี 1966 เมื่อแมวบ้านตัวหนึ่งให้กำเนิดลูกที่ไม่มีขนเนื่องจากการกลายพันธุ์ทางพันธุกรรม
C0008,Toyger,"""ตุ๊กตาเสือโคร่ง"" มีลายพาดกลอนแนวตั้งที่ชัดเจนเหมือนเสือโคร่งมากที่สุด แต่มีนิสัยใจดีและเป็นมิตร",เป็นสายพันธุ์ที่เพิ่งถูกพัฒนาขึ้นไม่นาน (ช่วงปี 1980) โดยลูกสาวของผู้สร้างแมวเบงกอล เธอต้องการสร้างแมวที่หน้าตาเหมือนเสือป่าเพื่อสร้างความตระหนักในการอนุรักษ์เสือในธรรมชาติ
C0009,Scottish Fold,"""หูพับ"" อันเป็นเอกลักษณ์ (บางตัวหูตั้งก็มีนะ) หน้ากลม ตาโตเหมือนนกฮูก ชอบนั่งท่า ""Buddha Sitting"" หรือท่านั่งขัดสมาธิแบบคน","ต้นกำเนิดมาจากแมวโรงนาชื่อ ""Susie"" ในสกอตแลนด์เมื่อปี 1961 ซึ่งเกิดมามีหูพับผิดปกติจากการกลายพันธุ์ทางพันธุกรรม แล้วถูกนำมาพัฒนาสายพันธุ์ต่อ"
C0010,Maine Coon,"""ยักษ์ใหญ่ใจดี"" เป็นแมวบ้านที่มีขนาดตัวใหญ่ที่สุดในโลก ขนยาวฟู หางเป็นพวงเหมือนแรคคูน และมีแผงคอเหมือนสิงโต นิสัยสุภาพและฉลาดมาก",เป็นแมวสายพันธุ์พื้นเมืองของรัฐเมน สหรัฐอเมริกา มีตำนานเล่าขานว่ามันคือลูกผสมระหว่างแมวกับแรคคูน (ซึ่งในทางวิทยาศาสตร์เป็นไปไม่ได้) แต่จริงๆ พัฒนามาจากแมวขนยาวที่ติดมากับเรือสำเภาสมัยก่อน
