,,,,,,
Match_ID,Housing,Lifestyle,Personality,User_Style,Recommended_Cat,Why_Match
M001,A (คอนโด),A (เวลาน้อย),A (นิ่งๆ),อยู่คอนโด งานยุ่ง รักความสงบ,British Shorthair,อยู่ตัวเดียวได้ดี ไม่โวยวาย ไม่ซนจนของพัง เหมาะกับคนทำงานหนัก
M002,A (คอนโด),A (เวลาน้อย),B (ซนๆ),อยู่คอนโด มีเวลาน้อย นิสัยเป็นมิตร,Russian Blue,อ่อนโยน เงียบสงบ ฉลาด และขี้อาย เก็บตัวเล็กน้อยกับคนแปลกหน้าแต่รักเจ้าของมาก ติดคนและภักดี
M003,A (คอนโด),A (เวลาน้อย),C (ติดหนึบ),อยู่คอนโด ขี้เหงา ชอบกอดแมว,"Ragdoll, Persian",นิ่งเหมือนตุ๊กตา ยอมให้อุ้มง่าย และติดเจ้าของมากเป็นพิเศษ
M004,A (คอนโด),B (มีเวลา),A (นิ่งๆ),อยู่คอนโด มีเวลาว่าง  รักความสงบ,Persian,ชอบความเงียบ มักมีนิสัยนิ่งๆ ขี้อ้อนแบบเงียบๆ ชอบคลอเคลียอยู่ใกล้เจ้าของ ไม่ค่อยซน
M005,A (คอนโด),B (มีเวลา),B (ซนๆ),"
อยู่คอนโด มีเวลาว่าง ชอบเล่นกับแมว
",Sphynx,ติดเจ้าของหนึบเหมือนเงาตามตัว และต้องการการดูแลเอาใจใส่สูง
M006,A (คอนโด),B (มีเวลา),C (ติดหนึบ),อยู่คอนโด  คนติดแมวขั้นสุด,Bombay,แมวดำที่เลี้ยงง่าย ปรับตัวเก่ง และไม่เรียกร้องเวลามากจนเกินไป
M007,A (คอนโด),C (WFH),A (นิ่งๆ),อยู่คอนโด ทำงานที่บ้าน ชอบความสงบ ไม่เน้นกวนกัน,British Shorthair,แมวที่รักอิสระ จะคอยคุมงานคุณอยู่ห่างๆ อย่างห่วงๆ
M008,A (คอนโด),C (WFH),B (ซนๆ),อยู่คอนโด ทำงานที่บ้าน ชอบเล่นกับแมว,Siamese,ช่างจ้อที่สุด โต้ตอบเก่ง เหมือนมีเพื่อนคุยในห้อง
M009,A (คอนโด),C (WFH),C (ติดหนึบ),อยู่คอนโด ไม่ชอบแมวเอาแต่ใจหรือเฉยชาเกินไป,Birman, เป็นแมวที่สุภาพ มีมารยาท ไม่ชอบความวุ่นวาย อ่อนโยน นุ่มนวล สุภาพ และติดเจ้าของมาก ชอบเข้ามาอ้อน
M010,B (บ้าน),A (เวลาน้อย),A (นิ่งๆ),บ้านกว้าง งานเยอะ ชอบแมวเงียบดูแลตัวเองได้,Bombay,เป็นแมวที่ปรับตัวเข้ากับบ้านกว้างได้ดีมาก รักสงบและดูแลตัวเองเก่ง ไม่เรียกร้องเวลาจากเจ้าของมากนัก
